run_at_pacific,post_id,account,series,ref,media_id,status,detail
2026-09-06T21:23:47.867238-07:00,re-es-day-01,ig:ramonhouses,RE Single ES,Day 01,,error,"HTTP 400: {""error"":{""message"":""Only photo or video can be accepted as media type."",""type"":""OAuthException"",""code"":9004,""error_subcode"":2207052,""is_transient"":false,""error_user_title"":""Media download has failed. The media URI doesn't meet our requirements."",""error_user_msg"":""The media could not be fe"
2026-09-06T21:23:47.867238-07:00,re-en-day-02,ig:ramonhouses,RE Single EN,Day 02,,error,"HTTP 400: {""error"":{""message"":""Only photo or video can be accepted as media type."",""type"":""OAuthException"",""code"":9004,""error_subcode"":2207052,""is_transient"":false,""error_user_title"":""Media download has failed. The media URI doesn't meet our requirements."",""error_user_msg"":""The media could not be fe"
2026-09-06T21:27:53.773231-07:00,re-es-day-01,ig:ramonhouses,RE Single ES,Day 01,18169406260459516,ok,
2026-09-06T21:27:53.773231-07:00,re-en-day-02,ig:ramonhouses,RE Single EN,Day 02,18140405605608610,ok,
2026-09-06T21:30:50.664845-07:00,re-en-day-01,ig:ramonhouses,RE Single EN,Day 01,18112977172822164,ok,
2026-09-06T21:30:50.664845-07:00,re-es-day-02,ig:ramonhouses,RE Single ES,Day 02,18031245656665034,ok,
2026-09-06T21:31:58.291529-07:00,r2-day-003,ig:growthwealth,Round 2,Day 003,18108796031103577,ok,
2026-09-06T21:31:58.291529-07:00,r2b-day-003,ig:growthwealth,Round 2b,Day 003,18134622082649789,ok,
2026-09-07T17:24:30.147811-07:00,r2-day-008,ig:growthwealth,Round 2,Day 008,17914821702450136,ok,
2026-09-07T17:24:30.147811-07:00,r2-day-008,fb:543998318793132,Round 2,Day 008,,error,"HTTP 403: {""error"":{""message"":""(#200) The permission(s) pages_manage_posts are not available. It could because either they are deprecated or need to be approved by App Review."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""AjFwF-CrmDtdfoGNWn226Mq""}}"
2026-09-07T17:24:30.147811-07:00,re-en-day-02,fb:414239392030697,RE Single EN,Day 02,,error,"HTTP 403: {""error"":{""message"":""(#200) The permission(s) pages_manage_posts are not available. It could because either they are deprecated or need to be approved by App Review."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""AuyFLU0ccwTBdd0KN9r8o94""}}"
2026-09-07T17:24:30.147811-07:00,r2b-day-008,ig:growthwealth,Round 2b,Day 008,17973042036130919,ok,
2026-09-07T17:24:30.147811-07:00,r2b-day-008,fb:543998318793132,Round 2b,Day 008,,error,"HTTP 403: {""error"":{""message"":""(#200) The permission(s) pages_manage_posts are not available. It could because either they are deprecated or need to be approved by App Review."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""ATQiiZ4TYRw5oOZAjNo0w4L""}}"
2026-09-08T02:33:10.041518-07:00,r2-day-009,ig:growthwealth,Round 2,Day 009,18110266364105132,ok,
2026-09-08T11:32:00.300867-07:00,car-en-w02a,ig:ramonhouses,Carousel EN,w02a,18086138186418746,ok,
2026-09-08T14:46:54.347179-07:00,r2b-day-009,ig:growthwealth,Round 2b,Day 009,17905643748520473,ok,
2026-09-09T02:36:04.522042-07:00,r2-day-010,ig:growthwealth,Round 2,Day 010,18122867854879528,ok,
2026-09-09T11:29:56.266257-07:00,car-es-w02a,ig:ramonhouses,Carousel ES,w02a,17895143469671086,ok,
2026-09-09T14:38:33.013508-07:00,r2b-day-010,ig:growthwealth,Round 2b,Day 010,18023803196702435,ok,
2026-09-10T02:35:39.381491-07:00,r2-day-011,ig:growthwealth,Round 2,Day 011,17876567514629951,ok,
2026-09-10T14:34:21.866576-07:00,r2b-day-011,ig:growthwealth,Round 2b,Day 011,18091161365159998,ok,
2026-09-11T02:32:46.860050-07:00,r2-day-012,ig:growthwealth,Round 2,Day 012,18483501802105528,ok,
2026-09-11T11:23:24.930845-07:00,reel-en-w02a,ig:ramonhouses,Reel EN,w02a,18088066892354206,ok,
2026-09-11T14:40:22.220299-07:00,r2b-day-012,ig:growthwealth,Round 2b,Day 012,18085512521285947,ok,
2026-09-12T03:37:03.534385-07:00,r2-day-013,ig:growthwealth,Round 2,Day 013,18094063331537289,ok,
2026-09-12T12:10:43.824343-07:00,re-en-day-03,ig:ramonhouses,RE Single EN,Day 03,18007555439968607,ok,
2026-09-12T15:11:13.420677-07:00,r2b-day-013,ig:growthwealth,Round 2b,Day 013,17955859665014130,ok,
2026-09-13T04:40:23.004574-07:00,r2-day-014,ig:growthwealth,Round 2,Day 014,17905756089475013,ok,
2026-09-13T08:08:10.502947-07:00,oh-2026-09-13-th01-fraser-en,ig:ramonhouses,Open House,1-20723 Fraser Hwy R3139875,18126964942696918,ok,
2026-09-13T08:08:10.502947-07:00,oh-2026-09-13-th46-gabriola-en,ig:ramonhouses,Open House,46-20498 82 Ave R3143635,17979288933083117,ok,
2026-09-13T08:19:56.225186-07:00,oh-2026-09-13-th01-fraser-reel-en,ig:ramonhouses,Open House Reel,1-20723 Fraser Hwy R3139875,18619450924031157,ok,
2026-09-13T08:19:56.225186-07:00,oh-2026-09-13-th46-gabriola-reel-en,ig:ramonhouses,Open House Reel,46-20498 82 Ave R3143635,17909534391523700,ok,
2026-09-13T08:49:09.515927-07:00,rq-01-en,ig:ramonhouses,RE Quote EN,Card 01,18626529136040263,ok,
2026-09-13T08:49:09.515927-07:00,rq-01-es,ig:ramonhouses,RE Quote ES,Card 01,18433459879182464,ok,
2026-09-13T12:20:33.114810-07:00,re-es-day-03,ig:ramonhouses,RE Single ES,Day 03,18000103902006904,ok,
2026-09-13T15:20:39.121465-07:00,r2b-day-014,ig:growthwealth,Round 2b,Day 014,18010342568761509,ok,
2026-09-13T20:40:06.731840-07:00,re-en-day-03,fb:414239392030697,RE Single EN,Day 03,414239392030697_122227547564048227,ok,
2026-09-13T20:40:06.731840-07:00,r2-day-014,fb:543998318793132,Round 2,Day 014,543998318793132_122179812362716289,ok,
2026-09-13T21:26:10.218158-07:00,re-en-day-03,li:person,RE Single EN,Day 03,,error,"HTTP 426: {""status"":426,""code"":""NONEXISTENT_VERSION"",""message"":""Requested version 20240901 is not active""}"
2026-09-13T21:28:31.858451-07:00,re-en-day-03,li:person,RE Single EN,Day 03,urn:li:share:7505120280806080512,ok,
2026-09-13T23:05:24.002787-07:00,re-es-day-03,fb:414239392030697,RE Single ES,Day 03,414239392030697_122227554476048227,ok,
2026-09-13T23:05:24.002787-07:00,r2b-day-014,fb:543998318793132,Round 2b,Day 014,543998318793132_122179820870716289,ok,
2026-09-14T06:53:46.030597-07:00,r2-day-015,ig:growthwealth,Round 2,Day 015,18069425804743122,ok,
2026-09-14T06:53:46.030597-07:00,r2-day-015,fb:543998318793132,Round 2,Day 015,543998318793132_122179849748716289,ok,
2026-09-14T12:15:37.473960-07:00,re-en-day-04,ig:ramonhouses,RE Single EN,Day 04,17905767498326903,ok,
